"vip","gad1"
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.93182563272433
0,0
0,0
0,0
0,0
0,3.52636052461616
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2.07944154167984
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.52636052461616
0,0
0,0
0,0
0,0
0,0
0,0
0,0.693147180559945
0,0
0,0
0,3.3322045101752
0,3.04452243772342
0,0
0,3.46573590279973
0,2.77258872223978
0,0
0,0
0,0
0,0
0,0
0,4.20469261939097
0,0
0,3.68887945411394
0,0
0,0
0,0
0,0.693147180559945
0,0
0,0
0,0
0,0
0,3.63758615972639
0,0
0,0
0,0
0,0
0.693147180559945,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2.30258509299405
0,1.94591014905531
0,0
0,2.99573227355399
0,2.39789527279837
0,0.693147180559945
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1.94591014905531
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.89182029811063
0,3.85014760171006
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.55534806148941
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.79175946922805,1.79175946922805
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2.83321334405622
0,0
0,0
0,0
0,0
0,0
0,1.6094379124341
0,0.693147180559945
0,0
0,0
0,4.15888308335967
0,0
0,0
0,4.20469261939097
0,0
0,0
0,0
0,3.17805383034795
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.13549421592915
0,0
0,2.70805020110221
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2.77258872223978
0,0
0,3.13549421592915
0,0
5.25749537202778,2.39789527279837
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2.56494935746154
0,0
0,3.09104245335832
0,3.04452243772342
0,0
0,0
0,0
0,2.70805020110221
0,0
0,2.07944154167984
0,0
0,0
0,0
0,0
0,0
0,3.55534806148941
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1.94591014905531
0,0
0,3.78418963391826
0,0
0,0
0,0
0,0
0,0
